,date,close,open,high,low
299,2023-07-31,14346.02,14337.9,14370.91,14292.75
300,2023-07-28,14316.66,14199.83,14344.35,14188.1
301,2023-07-27,14050.11,14319.16,14360.2,14006.92
302,2023-07-26,14127.28,14123.52,14187.35,14041.95
303,2023-07-25,14144.56,14093.24,14201.91,14092.52
304,2023-07-24,14058.87,14081.63,14110.15,13997.13
305,2023-07-21,14032.81,14148.18,14179.01,14020.45
306,2023-07-20,14063.31,14273.29,14309.92,14030.62
307,2023-07-19,14358.02,14398.53,14446.55,14317.09
308,2023-07-18,14353.64,14212.25,14396.69,14176.11
309,2023-07-17,14244.95,14149.92,14274.41,14138.01
310,2023-07-14,14113.7,14166.66,14232.11,14081.96
311,2023-07-13,14138.57,14021.15,14163.8,14012.24
312,2023-07-12,13918.96,13915.64,13963.45,13842.13
313,2023-07-11,13760.7,13709.81,13774.83,13643.32
314,2023-07-10,13685.48,13645.37,13692.41,13584.87
315,2023-07-07,13660.72,13668.07,13804.51,13656.73
316,2023-07-06,13679.04,13653.17,13689.52,13567.25
317,2023-07-05,13791.65,13772.1,13844.5,13764.25
318,2023-07-03,13816.77,13798.7,13839.09,13773.41
319,2023-06-30,13787.92,13719.98,13816.68,13716.16
320,2023-06-29,13591.33,13592.36,13618.53,13540.26
321,2023-06-28,13591.75,13506.02,13654.14,13495.73
322,2023-06-27,13555.67,13389.25,13578.8,13366.97
323,2023-06-26,13335.78,13468.74,13573.57,13334.42
324,2023-06-23,13492.52,13484.1,13572.19,13442.65
325,2023-06-22,13630.61,13443.41,13631.85,13441.56
326,2023-06-21,13502.2,13620.87,13638.57,13460.94
327,2023-06-20,13667.29,13642.29,13711.18,13561.84
328,2023-06-16,13689.57,13859.07,13864.06,13680.95
329,2023-06-15,13782.82,13572.88,13828.17,13561.37
330,2023-06-14,13626.48,13570.56,13661.74,13455.99
331,2023-06-13,13573.32,13566.52,13594.4,13473.19
332,2023-06-12,13461.92,13326.37,13465.91,13302.58
333,2023-06-09,13259.14,13312.39,13385.95,13229.33
334,2023-06-08,13238.52,13113.27,13248.6,13101.18
335,2023-06-07,13104.89,13295.26,13361.9,13089.48
336,2023-06-06,13276.42,13199.59,13306.21,13165.65
337,2023-06-05,13229.43,13238.48,13330.65,13194.95
338,2023-06-02,13240.77,13190.48,13256.21,13125.86
339,2023-06-01,13100.98,12944.46,13141.83,12903.63
340,2023-05-31,12935.29,12968.38,13029.08,12889.37
341,2023-05-30,13017.43,13109.1,13154.29,12968.12
342,2023-05-26,12975.69,12736.42,13001.91,12729.74
343,2023-05-25,12698.09,12706.44,12736.92,12604.89
344,2023-05-24,12484.16,12481.89,12529.63,12415.85
345,2023-05-23,12560.25,12652.88,12709.74,12554.43
346,2023-05-22,12720.78,12664.44,12756.22,12655.26
347,2023-05-19,12657.9,12709.46,12731.73,12624.06
348,2023-05-18,12688.84,12513.87,12698.5,12512.26
349,2023-05-17,12500.57,12388.58,12514.07,12335.02
350,2023-05-16,12343.05,12327.05,12403.81,12324.52
351,2023-05-15,12365.21,12367.69,12376.4,12263.35
352,2023-05-12,12284.74,12350.52,12364.65,12209.58
